Database: Monthly Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time: Last 36 Months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indicators,01/03/2022,01/02/2022,01/12/2021,01/11/2021,01/10/2021,01/09/2021,01/08/2021,01/07/2021,01/06/2021,01/05/2021,01/04/2021,01/03/2021,01/02/2021,01/12/2020,01/11/2020,01/10/2020,01/09/2020,01/08/2020,01/07/2020,01/06/2020,01/05/2020,01/04/2020,01/03/2020,01/02/2020,01/12/2019,01/11/2019,01/10/2019,01/09/2019,01/08/2019,01/07/2019,01/06/2019,01/05/2019
National Fiscal Expenditure (Excluding Debt Repayment) Cumulative Value (100 Million Yuan),63587,38227,246322,213924,193961,179293,155371,137928,121676,93553,76396,58703,35732.5,245588,207846,189439,175185,149925,133499,116411,90281,73595.9,55284,32350,238874,206463,190587,178612,153069,137963,123538,93023
National Fiscal Expenditure (Excluding Debt Repayment) Cumulative Growth,8.3,7,0.3,2.9,2.4,2.3,3.6,3.3,4.5,3.6,3.8,6.2,10.5,2.8,0.7,-0.6,-1.9,-2.1,-3.2,-5.8,-2.9,-2.7,-5.7,-2.9,8.1,7.7,8.7,9.4,8.8,9.9,10.7,12.5
Note: Data source Ministry of Finance of the People's Republic of China.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
